brand_name,drug_name,alternative_name,drug_id
ibu-tab,ibuprofen,,d00015
ibu-tab,ibuprofen,,d00015
menadol,ibuprofen,,d00015
midolib,ibuprofen,,d00015
midolmaximumstrengthcrampformula,ibuprofen,,d00015
motrin,ibuprofen,,d00015
motrinchildrens,ibuprofen,,d00015
motrinchildrens,ibuprofen,,d00015
motrinib,ibuprofen,,d00015
motrinibmigraine,ibuprofen,,d00015
motrininfantdrops,ibuprofen,,d00015
motrinjuniorstrength,ibuprofen,,d00015
motrinmigrainepain,ibuprofen,,d00015
motrinpediatric,ibuprofen,,d00015
neoprofen,ibuprofen,,d00015
nuprin,ibuprofen,,d00015
painrelief(ibuprofen),ibuprofen,,d00015
pediacarefever,ibuprofen,,d00015
proprinal,ibuprofen,,d00015
q-profen,ibuprofen,,d00015
rufen,ibuprofen,,d00015
saleto-200,ibuprofen,,d00015
saleto-400,ibuprofen,,d00015
saleto-600,ibuprofen,,d00015
saleto-800,ibuprofen,,d00015
smartsensechildren'sibuprofen,ibuprofen,,d00015
suppainmed,ibuprofen,,d00015
tab-profen,ibuprofen,,d00015
uni-pro,ibuprofen,,d00015
wal-profen,ibuprofen,,d00015
labetalol,labetalol,,d00016
labetalolhydrochloride,labetalol,,d00016
"labetalolhydrochloride,preservativefree",labetalol,,d00016
normodyne,labetalol,,d00016
trandate,labetalol,,d00016
demerol,meperidine,,d00017
demerolhcl,meperidine,,d00017
meperidinehydrochloride,meperidine,,d00017
corgard,nadolol,,d00018
nadolol,nadolol,,d00018
aflaxen,naproxen,,d00019
aleve,naproxen,,d00019
alevebackandmusclepain,naproxen,,d00019
aleveeasyopenarthritis,naproxen,,d00019
aleveliquidgels,naproxen,,d00019
alldaypainrelief,naproxen,,d00019
alldayrelief,naproxen,,d00019
anaprox,naproxen,,d00019
anaprox-ds,naproxen,,d00019
comfortpacwithnaproxen,naproxen,,d00019
ec-naprosyn,naproxen,,d00019
flanaxpainreliever,naproxen,,d00019
leadernaproxensodium,naproxen,,d00019
midolextendedrelief,naproxen,,d00019
naprelan,naproxen,,d00019
naprelan375,naproxen,,d00019
naprelan500,naproxen,,d00019
naprelan750,naproxen,,d00019
naprelandosecard,naproxen,,d00019
naprosyn,naproxen,,d00019
naproxen,naproxen,,d00019
naproxenentericcoated,naproxen,,d00019
naproxensodium,naproxen,,d00019
naproxensodium,naproxen,,d00019
naproxensodiumds,naproxen,,d00019
painreliefallday,naproxen,,d00019
rugbyalldayrelief,naproxen,,d00019
cardioquin,quinidine,,d00020
quinaglutedura-tabs,quinidine,,d00020
quin-g,quinidine,,d00020
quinidexextentabs,quinidine,,d00020
quinidinegluconate,quinidine,,d00020
quinidinegluconateer,quinidine,,d00020
quinidinesulfate,quinidine,,d00020
quinidinesulfatedihydrate,quinidine,,d00020
quinidinesulfateer,quinidine,,d00020
quinora,quinidine,,d00020
quin-release,quinidine,,d00020
acidcontrol,ranitidine,,d00021
acidcontrol75,ranitidine,,d00021
acidreducer,ranitidine,,d00021
acidreducer(ranitidine),ranitidine,,d00021
acidreducer(ranitidine),ranitidine,,d00021
ranitidinehydrochloride,ranitidine,,d00021
ranitidinehydrochloride,ranitidine,,d00021
taladine,ranitidine,,d00021
wal-zan,ranitidine,,d00021
zantac,ranitidine,,d00021
zantac150,ranitidine,,d00021
zantac150,ranitidine,,d00021
zantac300,ranitidine,,d00021
zantac300geldose,ranitidine,,d00021
zantac75,ranitidine,,d00021
zantacefferdose,ranitidine,,d00021
zantacgeldose,ranitidine,,d00021
coumadin,warfarin,,d00022
jantoven,warfarin,,d00022
warfarinsodium,warfarin,,d00022
allopurinol,allopurinol,,d00023
aloprim,allopurinol,,d00023
lopurin,allopurinol,,d00023
zyloprim,allopurinol,,d00023
azasan,azathioprine,,d00024
azathioprine,azathioprine,,d00024
azathioprinesodium,azathioprine,,d00024
imuran,azathioprine,,d00024
chloracol,chloramphenicol,,d00025
chloramphenicol,chloramphenicol,,d00025
chloramphenicolpalmitate,chloramphenicol,,d00025
chloramphenicolsodiumsuccinate,chloramphenicol,,d00025
chloromycetin,chloramphenicol,,d00025
chloromycetinsodiumsuccinate,chloramphenicol,,d00025
fenoprofencalcium,fenoprofen,,d00026
fenoprofencalciumanhydrous,fenoprofen,,d00026
fenopron,fenoprofen,,d00026
nalfon,fenoprofen,,d00026
profeno,fenoprofen,,d00026
haldol,haloperidol,,d00027
haldoldecanoate,haloperidol,,d00027
haloperidol,haloperidol,,d00027
haloperidoldecanoate,haloperidol,,d00027
haloperidollactate,haloperidol,,d00027
actron,ketoprofen,,d00028
ketoprofen,ketoprofen,,d00028
ketoprofener,ketoprofen,,d00028
kiprofen,ketoprofen,,d00028
orudis,ketoprofen,,d00028
orudiskt,ketoprofen,,d00028
oruvail,ketoprofen,,d00028
nafcillinsodium,nafcillin,,d00029
nafcillinsodiumadd-vantage,nafcillin,,d00029
nallpen,nafcillin,,d00029
unipen,nafcillin,,d00029
nebupent,pentamidine,,d00030
pentam300,pentamidine,,d00030
pentamidine,pentamidine,,d00030
pentamidineisethionate,pentamidine,,d00030
benemid,probenecid,,d00031
probenecid,probenecid,,d00031
hemangeol,propranolol,,d00032
inderal,propranolol,,d00032
inderalla,propranolol,,d00032
inderalxl,propranolol,,d00032
innopranxl,propranolol,,d00032
propranololhydrochloride,propranolol,,d00032
propranololhydrochlorideer,propranolol,,d00032
propranololhydrochloridela,propranolol,,d00032
clinoril,sulindac,,d00033
sulindac,sulindac,,d00033
retrovir,zidovudine,,d00034
zidovudine,zidovudine,,d00034
aralenhydrochloride,chloroquine,,d00035
aralenphosphate,chloroquine,,d00035
chloroquinephosphate,chloroquine,,d00035
cyclophosphamide,cyclophosphamide,,d00036
cytoxan,cyclophosphamide,,d00036
cytoxanlyophilized,cyclophosphamide,,d00036
neosar,cyclophosphamide,,d00036
acticlate,doxycycline,,d00037
adoxa,doxycycline,,d00037
adoxack,doxycycline,,d00037
adoxatt,doxycycline,,d00037
alodox,doxycycline,,d00037
avidoxy,doxycycline,,d00037
doryx,doxycycline,,d00037
doryxmpc,doxycycline,,d00037
doxylemmon,doxycycline,,d00037
doxy-caps,doxycycline,,d00037
doxycycline,doxycycline,,d00037
doxycyclinehyclate,doxycycline,,d00037
doxycyclinemonohydrate,doxycycline,,d00037
doxy-d,doxycycline,,d00037
lymepak,doxycycline,,d00037
mondoxynenl,doxycycline,,d00037
monodox,doxycycline,,d00037
morgidox,doxycycline,,d00037
morgidox1x100mg,doxycycline,,d00037
morgidox2x100mg,doxycycline,,d00037
nicazeldoxy30,doxycycline,,d00037
nicazeldoxy60,doxycycline,,d00037
ocudoxconveniencekit,doxycycline,,d00037
okebo,doxycycline,,d00037
oracea,doxycycline,,d00037
oraxyl,doxycycline,,d00037
periostat,doxycycline,,d00037
targadox,doxycycline,,d00037
vibramycin,doxycycline,,d00037
vibramycincalcium,doxycycline,,d00037
vibramycinmonohydrate,doxycycline,,d00037
vibra-tabs,doxycycline,,d00037
ancobon,flucytosine,,d00038
flucytosine,flucytosine,,d00038
indocin,indomethacin,,d00039
indocinsr,indomethacin,,d00039
indomethacin,indomethacin,,d00039
indomethacinsodiumtrihydrate,indomethacin,,d00039
indomethacinsr,indomethacin,,d00039
tivorbex,indomethacin,,d00039
oxazepam,oxazepam,,d00040
serax,oxazepam,,d00040
ala-tet,tetracycline,,d00041
brodspec,tetracycline,,d00041
emtet-500,tetracycline,,d00041
panmycin,tetracycline,,d00041
robitet500,tetracycline,,d00041
sumycin,tetracycline,,d00041
tetra500,tetracycline,,d00041
tetracap,tetracycline,,d00041
tetracon,tetracycline,,d00041
tetracyclinehydrochloride,tetracycline,,d00041
chlorpropamide,chlorpropamide,,d00042
diabinese,chlorpropamide,,d00042
cleocinhcl,clindamycin,,d00043
cleocinpediatric,clindamycin,,d00043
cleocinphosphate,clindamycin,,d00043
cleocinphosphateadd-vantage,clindamycin,,d00043
clindamycinhydrochloride,clindamycin,,d00043
clindamycinpalmitate,clindamycin,,d00043
clindamycinphosphate,clindamycin,,d00043
clindamycinphosphateadd-vantage,clindamycin,,d00043
catapres,clonidine,,d00044
catapres-tts-1,clonidine,,d00044
catapres-tts-2,clonidine,,d00044
catapres-tts-3,clonidine,,d00044
clonidine,clonidine,,d00044
clonidinehydrochloride,clonidine,,d00044
clonidinetts-1,clonidine,,d00044
clonidinetts-2,clonidine,,d00044
clonidinetts-3,clonidine,,d00044
duraclon,clonidine,,d00044
kapvay,clonidine,,d00044
kapvaydosepack,clonidine,,d00044
nexiclonxr,clonidine,,d00044
onydaxr,clonidine,,d00044
cardizem,diltiazem,,d00045
cardizemcd,diltiazem,,d00045
cardizemla,diltiazem,,d00045
cardizemlyo-ject,diltiazem,,d00045
cardizemmonovial,diltiazem,,d00045
cardizemsr,diltiazem,,d00045
cartiaxt,diltiazem,,d00045
dilacorxr,diltiazem,,d00045
dilt-cd,diltiazem,,d00045
diltiaxt,diltiazem,,d00045
diltiazem(eqv-cardizemcd),diltiazem,,d00045
diltiazem(eqv-dilacorxr),diltiazem,,d00045
diltiazem(eqv-tiazac),diltiazem,,d00045
diltiazemhydrochloride,diltiazem,,d00045
diltiazemhydrochlorideadd-vantage,diltiazem,,d00045
diltiazemhydrochloridecd,diltiazem,,d00045
diltiazemhydrochlorideer,diltiazem,,d00045
diltiazemhydrochloridela,diltiazem,,d00045
diltiazemhydrochloridesr,diltiazem,,d00045
diltiazemhydrochloridexr,diltiazem,,d00045
diltiazemhydrochloridext,diltiazem,,d00045
dilt-xr,diltiazem,,d00045
diltzac,diltiazem,,d00045
matzimla,diltiazem,,d00045
taztiaxt,diltiazem,,d00045
tiadylter,diltiazem,,d00045
tiazac,diltiazem,,d00045
e.e.s.granules,erythromycin,,d00046
e.e.s.-200,erythromycin,,d00046
e.e.s.-400,erythromycin,,d00046
e.e.s.-400filmtab,erythromycin,,d00046
e-mycin,erythromycin,,d00046
eryc,erythromycin,,d00046
eryped,erythromycin,,d00046
eryped200,erythromycin,,d00046
eryped400,erythromycin,,d00046
ery-tab,erythromycin,,d00046
erythrocinlactobionate,erythromycin,,d00046
erythrocinlactobionateadd-vantage,erythromycin,,d00046
erythrocinstearatefilmtab,erythromycin,,d00046
erythrocot,erythromycin,,d00046
erythromycin,erythromycin,,d00046
erythromycinbase,erythromycin,,d00046
erythromycinestolate,erythromycin,,d00046
erythromycinethylsuccinate,erythromycin,,d00046
erythromycinlactobionate,erythromycin,,d00046
erythromycinstearate,erythromycin,,d00046
"erythromycin,suspension",erythromycin,,d00046
erythro-rx,erythromycin,,d00046
ilosone,erythromycin,,d00046
ilotycingluceptate,erythromycin,,d00046
my-e,erythromycin,,d00046
pcedispertab,erythromycin,,d00046
robimycin,erythromycin,,d00046
rifadin,rifampin,,d00047
rifadiniv,rifampin,,d00047
rifampin,rifampin,,d00047
rimactane,rifampin,,d00047
calan,verapamil,,d00048
calansr,verapamil,,d00048
covera-hs,verapamil,,d00048
isoptin,verapamil,,d00048
isoptini.v.,verapamil,,d00048
isoptinsr,verapamil,,d00048
verapamilhydrochloride,verapamil,,d00048
verapamilhydrochloridesr,verapamil,,d00048
verapamilhydrochloridesr,verapamil,,d00048
verelan,verapamil,,d00048
verelanpm,verapamil,,d00048
8hourarthritispain,acetaminophen,,d00049
8hourpainrelief,acetaminophen,,d00049
8-houracetaminophene.r.,acetaminophen,,d00049
acephen,acetaminophen,,d00049
aceta,acetaminophen,,d00049
acetaminophen,acetaminophen,,d00049
acetaminophen,acetaminophen,,d00049
acetaminophen8-hrrelief,acetaminophen,,d00049
acetaminophenchild,acetaminophen,,d00049
acetaminophenchildren's,acetaminophen,,d00049
acetaminophenchildren'sstrengthrapidtabs,acetaminophen,,d00049
acetaminophenextended-release,acetaminophen,,d00049
acetaminophenextrastrength,acetaminophen,,d00049
acetaminophenextrastrengthcaplets,acetaminophen,,d00049
acetaminophenextrastrengthcoolice,acetaminophen,,d00049
acetaminophengummies,acetaminophen,,d00049
acetaminophenjr,acetaminophen,,d00049
acetaminophenjrstrengthrapidtabs,acetaminophen,,d00049
acetaminophenquickmelt,acetaminophen,,d00049
acetaminophenrapidrelease,acetaminophen,,d00049
actamin,acetaminophen,,d00049
adprinb,acetaminophen,,d00049
anacinaf,acetaminophen,,d00049
anacin-3maximumstrength,acetaminophen,,d00049
apacet,acetaminophen,,d00049
apap(obsolete),acetaminophen,,d00049
apap500adultliquid,acetaminophen,,d00049
apapchild,acetaminophen,,d00049
apapextrastrength,acetaminophen,,d00049
apapfruit,acetaminophen,,d00049
apapinfant,acetaminophen,,d00049
apapinfantdrops,acetaminophen,,d00049
apapjuniorstrength,acetaminophen,,d00049
apara,acetaminophen,,d00049
apra,acetaminophen,,d00049
arthritisfoundationms,acetaminophen,,d00049
arthritispainextendedrelease,acetaminophen,,d00049
arthritispainrelief,acetaminophen,,d00049
aspirinfree(obsolete),acetaminophen,,d00049
aspirinfreechild,acetaminophen,,d00049
aspirinfreeextrastrength,acetaminophen,,d00049
aurophen,acetaminophen,,d00049
bromoseltzer,acetaminophen,,d00049
childno-aspirin,acetaminophen,,d00049
childnon-aspirin,acetaminophen,,d00049
childpain,acetaminophen,,d00049
children'sacetaminophen,acetaminophen,,d00049
children'schewables,acetaminophen,,d00049
children'sdyefreepainreliever,acetaminophen,,d00049
children'spainandfever,acetaminophen,,d00049
children'spainrelief,acetaminophen,,d00049
children'spainreliever,acetaminophen,,d00049
children'stylenol,acetaminophen,,d00049
children'stylenolmeltaway,acetaminophen,,d00049
conacetol,acetaminophen,,d00049
dolono,acetaminophen,,d00049
dolonoinfant,acetaminophen,,d00049
ed-acetaminophen,acetaminophen,,d00049
elixsurefever/pain,acetaminophen,,d00049
extrastrengthpainrelief,acetaminophen,,d00049
feverall,acetaminophen,,d00049
feveralljr.strength,acetaminophen,,d00049
genapap,acetaminophen,,d00049
genapapextrastrength,acetaminophen,,d00049
genebs,acetaminophen,,d00049
gericet,acetaminophen,,d00049
goodsenseinfantspainreliver,acetaminophen,,d00049
goodsensepainreliefjuniorstrength,acetaminophen,,d00049
halenol,acetaminophen,,d00049
healthmartpainrelief,acetaminophen,,d00049
infantapap,acetaminophen,,d00049
infantdrops,acetaminophen,,d00049
infantfeverandpainreliever,acetaminophen,,d00049
infantpainreliever,acetaminophen,,d00049
infanttempra,acetaminophen,,d00049
infantaire,acetaminophen,,d00049
infants'acetaminophen,acetaminophen,,d00049
infants'painandfever,acetaminophen,,d00049
infantspainrelieverwithoutaspirin,acetaminophen,,d00049
infant'stylenol,acetaminophen,,d00049
infantstylenolconcentrateddrops,acetaminophen,,d00049
juniorpainreliever,acetaminophen,,d00049
juniorrapidmelts,acetaminophen,,d00049
juniorstrengthtylenol,acetaminophen,,d00049
kindermedinfants'painandfever,acetaminophen,,d00049
kindermedkids'painandfever,acetaminophen,,d00049
leader8hourpainreliever,acetaminophen,,d00049
liquiprin,acetaminophen,,d00049
littlefevers,acetaminophen,,d00049
littlefeverschildren'sfever/painrelieverberryflavor,acetaminophen,,d00049
littlefeverschildren'sfever/painrelievercherryflavor,acetaminophen,,d00049
littlefeversinfantfever/painreliever,acetaminophen,,d00049
littleremediesinfantfeverandpainreliever,acetaminophen,,d00049
lopap,acetaminophen,,d00049
mapap,acetaminophen,,d00049
mapaparthritispain,acetaminophen,,d00049
mapapchildren's,acetaminophen,,d00049
mapapextrastrengthrapidburst,acetaminophen,,d00049
mapapinfantdrops,acetaminophen,,d00049
mapapinfants',acetaminophen,,d00049
mapapjuniorstrength,acetaminophen,,d00049
mapapmeltaway,acetaminophen,,d00049
mapaprapidrelease,acetaminophen,,d00049
mapaprapidtabs,acetaminophen,,d00049
mardol,acetaminophen,,d00049
masophen,acetaminophen,,d00049
maxreliefjunior,acetaminophen,,d00049
medacap,acetaminophen,,d00049
mediqueapap(acetaminophen),acetaminophen,,d00049
medi-tabs,acetaminophen,,d00049
midollonglastingrelief,acetaminophen,,d00049
m-pap,acetaminophen,,d00049
neopapsupprettes,acetaminophen,,d00049
nonaspirinextrastrength,acetaminophen,,d00049
non-asa,acetaminophen,,d00049
non-aspirin,acetaminophen,,d00049
non-aspirinchildrens,acetaminophen,,d00049
non-aspirinchildrenspainreliever,acetaminophen,,d00049
non-aspirininfant,acetaminophen,,d00049
non-aspirinpain,acetaminophen,,d00049
non-aspirinpainreliever,acetaminophen,,d00049
non-asprin,acetaminophen,,d00049
nortemp,acetaminophen,,d00049
ofirmev,acetaminophen,,d00049
painandfever,acetaminophen,,d00049
painrelief,acetaminophen,,d00049
painreliefextrastrength,acetaminophen,,d00049
painrelieve,acetaminophen,,d00049
painreliever,acetaminophen,,d00049
painrelieverchild,acetaminophen,,d00049
painrelieverrapidrelease,acetaminophen,,d00049
pain/fever,acetaminophen,,d00049
pain-eze,acetaminophen,,d00049
panadol,acetaminophen,,d00049
panadolchildrens,acetaminophen,,d00049
panadoljr.,acetaminophen,,d00049
panex,acetaminophen,,d00049
panex500,acetaminophen,,d00049
paramol,acetaminophen,,d00049
pediapap,acetaminophen,,d00049
pediatricapap,acetaminophen,,d00049
pharbetol,acetaminophen,,d00049
pharbetolextrastrength,acetaminophen,,d00049
q-nol,acetaminophen,,d00049
q-pap,acetaminophen,,d00049
q-papextrastrength,acetaminophen,,d00049
redutemp,acetaminophen,,d00049
ridenol,acetaminophen,,d00049
silapapchildrens,acetaminophen,,d00049
silapapinfants,acetaminophen,,d00049
s-tfebrol,acetaminophen,,d00049
st.josephaspirin-free,acetaminophen,,d00049
tactinal,acetaminophen,,d00049
tempra,acetaminophen,,d00049
tempra1,acetaminophen,,d00049
tempra2,acetaminophen,,d00049
tempra3,acetaminophen,,d00049
tempraquicklets,acetaminophen,,d00049
t-painol,acetaminophen,,d00049
t-painolextrastrength,acetaminophen,,d00049
t-panol,acetaminophen,,d00049
triaminicfeverandpain,acetaminophen,,d00049
triaminicinfantdrops,acetaminophen,,d00049
tycolene,acetaminophen,,d00049
tylenol,acetaminophen,,d00049
tylenol8hour,acetaminophen,,d00049
tylenol8hourgeltab,acetaminophen,,d00049
tylenol8hrarthritispain,acetaminophen,,d00049
tylenolarthritiscaplet,acetaminophen,,d00049
tylenolarthritisextendedrelease,acetaminophen,,d00049
tylenolarthritisgelcap,acetaminophen,,d00049
tylenolarthritisgeltab,acetaminophen,,d00049
tylenolcaplet,acetaminophen,,d00049
tylenolcapletextrastrength,acetaminophen,,d00049
tylenolchildrenplusadults,acetaminophen,,d00049
tylenolchildrens,acetaminophen,,d00049
tylenolchildren'sdissolvepacks,acetaminophen,,d00049
tylenolcoldsorethroatextrastrength,acetaminophen,,d00049
tylenolextendedrelease,acetaminophen,,d00049
tylenolextrastrength,acetaminophen,,d00049
tylenolextrastrengthcool,acetaminophen,,d00049
tylenolextrastrengthez,acetaminophen,,d00049
tylenolgelcapextrastrength,acetaminophen,,d00049
tylenolgeltabextrastrength,acetaminophen,,d00049
tylenolgotabs,acetaminophen,,d00049
tylenolinfant's,acetaminophen,,d00049
tylenolinfant'sdrops,acetaminophen,,d00049
tylenoljuniormeltaway,acetaminophen,,d00049
tylenolrapidreleasegelsextrastrength,acetaminophen,,d00049
tylenolregularstrength,acetaminophen,,d00049
tylenolsorethroat,acetaminophen,,d00049
tylenolsorethroatdaytime,acetaminophen,,d00049
tylophen,acetaminophen,,d00049
uni-ace,acetaminophen,,d00049
uni-acechild,acetaminophen,,d00049
uniserts,acetaminophen,,d00049
vitapap,acetaminophen,,d00049
xsnoaspirinpr,acetaminophen,,d00049
xspainreliever,acetaminophen,,d00049
diskets,methadone,,d00050
dolophine,methadone,,d00050
methadonehydrochloride,methadone,,d00050
methadose,methadone,,d00050
methadosesugar-free,methadone,,d00050
adalat,nifedipine,,d00051
adalatcc,nifedipine,,d00051
afeditabcr,nifedipine,,d00051
nifediaccc,nifedipine,,d00051
nifedicalxl,nifedipine,,d00051
nifedipine,nifedipine,,d00051
nifedipine(eqv-adalatcc),nifedipine,,d00051
nifedipine(eqv-procardiaxl),nifedipine,,d00051
nifedipineer,nifedipine,,d00051
procardia,nifedipine,,d00051
procardiaxl,nifedipine,,d00051
ceftriaxonesodium,ceftriaxone,,d00052
ceftriaxonesodiumadd-vantage,ceftriaxone,,d00052
rocephin,ceftriaxone,,d00052
rocephinadd-vantage,ceftriaxone,,d00052
cephradine,cephradine,,d00053
velosef,cephradine,,d00053
tolectin,tolmetin,,d00054
tolectin600,tolmetin,,d00054
tolectinds,tolmetin,,d00054
tolmetinsodium,tolmetin,,d00054
cefotan,cefotetan,,d00055
cefotetandisodium,cefotetan,,d00055
ceftin,cefuroxime,,d00056
cefuroximeaxetil,cefuroxime,,d00056
cefuroximesodium,cefuroxime,,d00056
kefurox,cefuroxime,,d00056
zinacef,cefuroxime,,d00056
zinacefadd-vantage,cefuroxime,,d00056
zinaceftwistvial,cefuroxime,,d00056
piperacillinsodium,piperacillin,,d00057
pipracil,piperacillin,,d00057
carbamazepine,carbamazepine,,d00058
carbamazepineer,carbamazepine,,d00058
carbatrol,carbamazepine,,d00058
epitol,carbamazepine,,d00058
equetro,carbamazepine,,d00058
tegretol,carbamazepine,,d00058
tegretolxr,carbamazepine,,d00058
anestacaine,lidocaine,,d00059
d-caine,lidocaine,,d00059
dextrose-lidocainehydrochloride,lidocaine,,d00059
dilocaine,lidocaine,,d00059
epiduralsingleshotwithlidocaine,lidocaine,,d00059
l-caine,lidocaine,,d00059
lidocaine,lidocaine,,d00059
lidocainehydrochloride,lidocaine,,d00059
lidocainehydrochloridebuffered,lidocaine,,d00059
lidocainehydrochloridewithbuffers,lidocaine,,d00059
lidocainehydrochloridewithdextrose,lidocaine,,d00059
"lidocainehydrochloride,injectable",lidocaine,,d00059
lidoject1,lidocaine,,d00059
lidoject2,lidocaine,,d00059
nervocaine,lidocaine,,d00059
truxacaine,lidocaine,,d00059
uadcaine,lidocaine,,d00059
xylocainedentalcartridges,lidocaine,,d00059
xylocaineduo-trachkit,lidocaine,,d00059
xylocainehcl,lidocaine,,d00059
xylocainehclforspinal,lidocaine,,d00059
xylocaine-mpf,lidocaine,,d00059
emgynkit,methotrexate,,d00060
folexpfs,methotrexate,,d00060
jylamvo,methotrexate,,d00060
methotrexate,methotrexate,,d00060
methotrexatelpfsodium,methotrexate,,d00060
methotrexatesodium,methotrexate,,d00060
"methotrexatesodium,preservativefree",methotrexate,,d00060
otrexup,methotrexate,,d00060
rasuvo,methotrexate,,d00060
reditrex,methotrexate,,d00060
rheumatrexdosepack,methotrexate,,d00060
trexall,methotrexate,,d00060
xatmep,methotrexate,,d00060
eskalith,lithium,,d00061
eskalith-cr,lithium,,d00061
lithiumcarbonate,lithium,,d00061
lithiumcitrate,lithium,,d00061
lithobid,lithium,,d00061
lithonate,lithium,,d00061
lithotabs,lithium,,d00061
mandol,cefamandole,,d00062
monocid,cefonicid,,d00063
chlorpromazinehydrochloride,chlorpromazine,,d00064
chlorpromazinehydrochloride(obsolete),chlorpromazine,,d00064
ormazine,chlorpromazine,,d00064
thorazine,chlorpromazine,,d00064
thorazinespansule,chlorpromazine,,d00064
foscarnetsodium,foscarnet,,d00065
foscavir,foscarnet,,d00065
cytovene,ganciclovir,,d00066
ganciclovir,ganciclovir,,d00066
ganciclovirsodium,ganciclovir,,d00066
azactam,aztreonam,,d00067
aztreonam,aztreonam,,d00067
cayston,aztreonam,,d00067
ethambutolhydrochloride,ethambutol,,d00068
myambutol,ethambutol,,d00068
bethkis,tobramycin,,d00069
kitabispak,tobramycin,,d00069
nebcin,tobramycin,,d00069
nebcinpediatric,tobramycin,,d00069
tobi,tobramycin,,d00069
tobipodhaler,tobramycin,,d00069
