raw_drug,normalized_drug,drug_id
alprazolam 0.125,alprazolam,d00168
alprazolam 0.125-0.25,alprazolam,d00168
alprazolam 0.25,alprazolam,d00168
alprazolam 0.5,alprazolam,d00168
alprazolan,alprazolam,d00168
alprazolani,alprazolam,d00168
alprazolom,unknown,d00168
alprazolon,alprazolam,d00168
alpreslar,alprazolam,d00168
alprostadil,alprostadil,d01387
alprozolam,alprazolam,d00168
alprozolone,alprazolam,d00168
alpurinol,allopurinol,d00023
alrazolam,alprazolam,d00168
alrex,alrex,d04292
alrex 0.2 percent,unknown,NO_DRUG_ID
alrex 0.2%,alrex,d04292
alrprazolan,alprazolam,d00168
altaca,altace,d00728
altacan,altace,d00728
altace,altace,d00728
altair,altace,d00728
altara,altace,d00728
altase,altace,d00728
altay,altace,d00728
altce,altace,d00728
altds,altace,d00728
altece,altace,d00728
altenlox,atenolol,d00004
alterase,unknown,d01002
altivan,ativan,d00149
altnee,altace,d00728
altocor,altocor,d00280
altonel,actonel,d04300
altoprev,altoprev,d00280
altoprev la,altoprev,d00280
altoprev tab,altoprev,d00280
altos,altace,d00728
altose,altace,d00728
altpace,alteplase,d00521
altrace,altace,d00728
alture,altace,d00728
alupurinol,allopurinol,d00023
alytrin,amitriptyline,d00146
alzamed,Unknown,NO_DRUG_ID
alzemed or placebo,alzemed,NO_DRUG_ID
alzhamed,aricept,d04099
alzhemed,alzhemed,r10001
alzhemed or placebo,alzhemed,NO_DRUG_ID
alzhemed placebo study drug,tramiprosate,NO_DRUG_ID
alzhemed study drug,tramiprosate,NO_DRUG_ID
alzhemed study product,tramiprosate,NO_DRUG_ID
alzhemed trial,tramiprosate,NO_DRUG_ID
alzhemed vs. placebo,alzhemed,NO_DRUG_ID
alzhemed/placebo,alzhemed,NO_DRUG_ID
alzhemed/study drug,tramiprosate,NO_DRUG_ID
alzimed,aricept,d04099
alzimed-- research study,unknown,NO_DRUG_ID
alzprazolam,alprazolam,d00168
am.,unknown,NO_DRUG_ID
amacor,atacor,NO_DRUG_ID
amaderon,amiodarone,d00002
amanda,amantadine,d00086
amantadine,amantadine,d00086
amantadine hcl,amantadine hydrochloride,d00086
amantidine,amantadine,d00086
amantudine,amantadine,d00086
amardenient,amantadine,d00086
amargl,amaryl,d03864
amaril,amaryl,d03864
amaryl,amaryl,d03864
amarylactos,amaryl,d03864
amatadine,amantadine,d00086
amatine,amantadine,d00086
amazyl,amaryl,d03864
ambein,ambien,d00910
ambian,ambien,d00910
ambiant,ambien,d00910
ambiem,ambien,d00910
ambien,ambien,d00910
ambien cr,ambien cr,d00910
ambien prn,unknown,d00910
ambiex,ambien,d00910
ambin,ambien,d00910
ambion,ambien,d00910
ambium,ambien,d00910
ambrotose,ambrotose,s10105
amcinonide,amcinonide,d01283
amcinonide topical cream,amcinonide topical cream,d01283
amcodarone,amiodarone,d00002
amcodipine,amlodipine,d00689
amcoidpine,amlodipine,d00689
amegesic,tramagesic,NO_DRUG_ID
ameodarone,amiodarone,d00002
ameprazole,unknown,d00325
amerge,amerge,d04285
ameridex,arimidex,d03873
amerodeone,amiodarone,d00002
amezaprole,amisulpride,d04990
amiben,ambien,d00910
amidarone,amiodarone,d00002
amilodipine,amlodipine,d00689
amilor,amiloride,d00169
amiloride,amiloride,d00169
amiloride (tablet),amiloride,d00169
amiloride hcl,amiloride hcl,NO_DRUG_ID
amiloride/hctz,amiloride/hydrochlorothiazide,d03193
amilovide hcl,amiloride hcl,d00169
aminidex,arimidex,d03873
amiobarone hci,amiodarone hcl,NO_DRUG_ID
amiodadrone,amiodarone,d00002
amiodanone,amiodarone,d00002
amiodarine,amiodarone,d00002
amiodarne,amiodarone,d00002
amiodarone,amiodarone,d00002
amiodarone hcl,amiodarone hydrochloride,d00002
amiodarone hydroc,amiodarone hydrochloride,d00002
amiodarone hydrochloride,amiodarone hydrochloride,d00002
amioderone,amiodarone,d00002
amiodiorone,amiodarone,d00002
amiodipine,amlodipine,d00689
amiodirone hcl,amiodarone hcl,d00002
amiodome,amiodarone,d00002
amiodorine,amiodarone,d00002
amiodorone,amiodarone,d00002
amiodovone,amiodarone,d00002
amiodrome,amiodarone,d00002
amiodrone,amiodarone,d00002
amiovarone,amiodarone,d00002
amirge,amerge,d04285
amitiptriline,amitriptyline,d00146
amitirptyline,amitriptyline,d00146
amitiza,amitiza,d05736
amitmptyline,amitriptyline,d00146
amitridthline,amitriptyline,d00146
amitriplyline,amitriptyline,d00146
amitriptiline,unknown,d00146
amitriptylere,amitriptyline,d00146
amitriptyliine,amitriptyline,d00146
amitriptylin,amitriptyline,d00146
amitriptyline,amitriptyline,d00146
amitriptyline hcl,amitriptyline hcl,d00146
amitriptyline hlc,amitriptyline hcl,d00146
amitriptyline hydrochloride,amitriptyline hydrochloride,d00146
amitriptyllin,amitriptyline,d00146
amitriptylline,amitriptyline,d00146
amitripyline,amitriptyline,d00146
amitripylline,unknown,d00146
amitrityline,amitriptyline,d00146
amitryatyline,unknown,d00146
amitryp,amitriptyline,d00146
amitryptaline,amitriptyline,d00146
amitryptem,amitriptyline,d00146
amitryptiline,amitriptyline,d00146
amitryptillin,unknown,d00146
amitryptilne,amitriptyline,d00146
amitryptline,amitriptyline,d00146
amitryptylin,amitriptyline,d00146
amitryptyline,amitriptyline,d00146
amitryptylline,amitriptyline,d00146
amitryptylline hcl,amitriptyline hcl,d00146
amitrytyline,amitriptyline,d00146
amlodarone,amiodarone,d00002
amlodepine besulol,amlodipine besylate,d00689
amlodiine,amlodipine,d00689
amlodine,amlodipine,d00689
amlodipan,amlodipine,d00689
amlodipe,amlodipine,d00689
amlodipihe-beraz,amlodipine-benazepril,d03829
amlodipin,amlodipine,d00689
amlodipine,amlodipine,d00689
amlodipine 2.5,amlodipine,d00689
amlodipine benazepiul,unknown,d03829
amlodipine benazepril,amlodipine benazepril,d03829
amlodipine besylate,amlodipine besylate,d00689
amlodipine boylate,amlodipine besylate,d00689
amloditine,amlodipine,d00689
amlodopine / benzapril,amlodipine/benazepril,d03829
amlodoprine,amlodipine,d00689
amlodpni,amlodipine,d00689
amlodyin,amlodipine,d00689
amlopidine,amlodipine,d00689
amlovasc,amlodipine,d00689
ammonium lactate,ammonium lactate,d04049
ammonium lactate (lotion12pct),ammonium lactate,d04049
ammorthyroid,armour thyroid,d00655
amoar thyroid,armour thyroid,d00655
amodarone,amiodarone,d00002
amonium lactate cream,ammonium lactate cream,d04049
amorthyroid,armour thyroid,d00655
amoryl,unknown,d03864
amotripoline,amitriptyline,d00146
amour,armour thyroid,d00655
amour thyroid,armour thyroid,d00655
amourthyroid,armour thyroid,d00655
amox,amoxicillin,d00088
amox clax,unknown,NO_DRUG_ID
amoxacillin,amoxicillin,d00088
amoxcillin,amoxicillin,d00088
amoxicilin,amoxicillin,d00088
amoxicillan,amoxicillin,d00088
amoxicillian,amoxicillin,d00088
amoxicillian/ lansoprazole/ cl,amoxicillin/lansoprazole/clarithromycin,d04272
amoxicillin,amoxicillin,d00088
amoxicillin (d/c 2/11),unknown,d00088
amoxicillin / dox,amoxicillin/doxycycline,d00088
amoxicillin/cipro/zithromax,multiple antibiotics,NO_DRUG_ID
amoxil,amoxil,d00088
amoxycillin,amoxicillin,d00088
amoxycillo,amoxicillin,d00088
amphetamine-dextroamphetamine,unknown,d04035
ampicillin,ampicillin,d00003
amplodipine,amlodipine,d00689
amprazale,omeprazole,d00325
amprazole,omeprazole,d00325
amtidipine,amlodipine,d00689
amtode[ressamt,unknown,NO_DRUG_ID
amtriptyline,amitriptyline,d00146
amtriptyline hcl,amitriptyline hcl,d00146
amviencr,ambien cr,d00910
amytreptalline,amitriptyline,d00146
amytripiline,amitriptyline,d00146
amytriptelline,amitriptyline,d00146
amytriptyline,amitriptyline,d00146
amytriptylline,amitriptyline,d00146
amytripyline,amitriptyline,d00146
anal pram,analpram,NO_DRUG_ID
analapril,enalapril,d00013
analopril,enalapril,d00013
analpram-hc,unknown,d03546
anamewda,namenda,d04899
anandamet,avandamet,d04820
anapril,altace,d00728
anaprox,anaprox,d00019
anaryl,anaprox,d00019
anbien,ambien,d00910
andiozel,cardizem,d00045
andr0gel,androgel,d00558
andro gel,androgel,NO_DRUG_ID
andro gel 4pumps/day,androgel,NO_DRUG_ID
androderm,androderm,d00558
androderm patch,androderm,d00558
androderm testosterone,androderm,d00558
androgel,androgel,d00558
androgel (1 pct),androgel,d00558
androgel 17% gel,unknown,d00558
androgel gel,androgel,d00558
anelprol,atenolol,d00004
anexsia,anexsia,d03428
anextuss,anextuss,d03408
angrorel,aggrenox,d04497
anicopt,aricept,d04099
anifedipine,nifedipine,d00051
anitriptyline,amitriptyline,d00146
anjagusg,unknown,d01389
anlodipine,amlodipine,d00689
anlosec,prilosec,d00325
anoprox,anaprox,d00019
anphetamine,amphetamine,d00803
anrvastatin,atorvastatin,d04105
antabuse,antabuse,d01389
antacand,atacand,d04322
antacid,antacid,NO_DRUG_ID
antanel,unknown,d04300
antara,antara,d04286
anthrotec,arthrotec,d04271
anthypertensive,antihypertensive,NO_DRUG_ID
anti hypertensive study drug,unknown,NO_DRUG_ID
anti-hypertension (dk name),unknown,NO_DRUG_ID
anti-hypertensive,antihypertensive,NO_DRUG_ID
antibiotic (type unknown),unknown,NO_DRUG_ID
antibiotics-prophylact,prophylactic antibiotics,NO_DRUG_ID
anticand,nystatin,d01233
antidepressant,antidepressant,NO_DRUG_ID
antifungal gel,unknown,d03195
antihistamine,antihistamine,d00212
antihypertensive,antihypertensive,NO_DRUG_ID
antihypertensive med,antihypertensive medication,NO_DRUG_ID
antiseizure,antiseizure medication,NO_DRUG_ID
antivert,antivert,d00859
antvert,antivert,d00859
anusol,anusol,NO_DRUG_ID
anx,unknown,d00907
aobuterol,albuterol,d00749
aot8van,ativan,d00149
apandan,apidra,d05278
apap,acetaminophen,d00049
apap (acetaminophen),unknown,NO_DRUG_ID
apap/cod #3,acetaminophen/codeine #3,NO_DRUG_ID
apap/codeine,acetaminophen/codeine,d03423
apap/codinin,acetaminophen/codeine,d03423
aphagan drops,alphagan drops,d04048
aphagan gtts,unknown,d04048
aphagan od,alphagan,d04048
aphagan ou,alphagan,d04048
aphridra insulin,apidra insulin,NO_DRUG_ID
apio,unknown,NO_DRUG_ID
apipiprazole,aripiprazole,d04825
apipirazole,aripiprazole,d04825
apiprazole,aripiprazole,d04825
apln,apelin,NO_DRUG_ID
apo-carvedeol,carvedilol,d03847
apo-lisinopril,lisinopril,d00732
aprazolam,alprazolam,d00168
apresoline,apresoline,d00132
aprodine,aprodine,d03316
