DRUG_NAME_UCASE,DRUG_ID
MULTIVITAMIN WITH MINERALS,d03145
MULTIVITAMIN WITH MINERALS,d03145
MULTIVITAMIN WITH MINERALS,d03145
MULTIVITAMIN WITH MINERALS,d03145
IDECABTAGENE VICLEUCEL,d09745
AMPHOTERICIN B LIPID COMPLEX,d03870
NIACINAMIDE-SULFACETAMIDE SODIUM TOPICAL,d09639
NIACINAMIDE-SULFACETAMIDE SODIUM TOPICAL,d09639
ESTRADIOL-NORETHINDRONE,d04375
ESTRADIOL-NORETHINDRONE,d04375
ARIPIPRAZOLE,d04825
ARIPIPRAZOLE,d04825
ARIPIPRAZOLE,d04825
ARIPIPRAZOLE,d04825
ARIPIPRAZOLE,d04825
ARIPIPRAZOLE,d04825
ARIPIPRAZOLE,d04825
ABIRATERONE,d07766
ABIRATERONE,d07766
GADOFOSVESET TRISODIUM,d05846
GUAIFENESIN-PSEUDOEPHEDRINE,d03379
ETHANOL,d03162
PACLITAXEL PROTEIN-BOUND,d05427
DOCOSANOL TOPICAL,d04702
DOCOSANOL TOPICAL,d04702
GLYCERIN-LIDOCAINE TOPICAL,d10216
ADALIMUMAB,d04835
ADALIMUMAB,d04835
"RSV VACCINE, PREF A-PREF B, RECOMBINANT",d10063
"EMOLLIENTS, TOPICAL",d03770
TOLNAFTATE TOPICAL,d01274
TOLNAFTATE TOPICAL,d01274
MENTHOL TOPICAL,d03665
METHYL SALICYLATE TOPICAL,d03668
TOLNAFTATE TOPICAL,d01274
METHYL SALICYLATE TOPICAL,d03668
MENTHOL TOPICAL,d03665
ISOTRETINOIN,d01245
ISOTRETINOIN,d01245
FENTANYL,d00233
SMALLPOX VACCINE,d04831
ACAMPROSATE,d04986
BENZOYL PEROXIDE-CLINDAMYCIN TOPICAL,d04742
ACARBOSE,d03846
EMTRICITABINE-TENOFOVIR,d05352
EMTRICITABINE/LOPINAVIR/RITONAVIR/TENOFOVIR,d07531
EMTRICITABINE/NELFINAVIR/TENOFOVIR,d07532
ZAFIRLUKAST,d04053
FERRIC MALTOL,d08432
BROMPHENIRAMINE/DEXTROMETHORPHAN/PSEUDOEPHEDRINE,d03368
BROMPHENIRAMINE/DM/GUAIFENESIN/PSE,d04862
CHLORPHENIRAMINE-PSEUDOEPHEDRINE,d03298
BROMPHENIRAMINE-PSEUDOEPHEDRINE,d03301
ATROPINE/CPM/HYOSCYAMINE/PE/SCOPOLAMINE,d04872
ATROPINE/CPM/HYOSCYAMINE/PE/PPA/SCOPOLAMINE,d03339
CHLORPHENIRAMINE/DEXTROMETHORPHAN/PSEUDOEPHEDRINE,d03370
BROMPHENIRAMINE/DEXTROMETHORPHAN/PSEUDOEPHEDRINE,d03368
BROMPHENIRAMINE/DM/GUAIFENESIN/PHENYLEPHRINE,d05106
BROMPHENIRAMINE-PSEUDOEPHEDRINE,d03301
ALBUTEROL,d00749
QUINAPRIL,d00365
HYDROCHLOROTHIAZIDE-QUINAPRIL,d04509
ETHYL CHLORIDE TOPICAL,d03656
ETHYL CHLORIDE TOPICAL,d03656
ISOTRETINOIN,d01245
PAPAIN-UREA TOPICAL,d04191
PAPAIN-UREA TOPICAL,d04191
ACEBUTOLOL,d00128
"DIPHTH/PERTUSSIS, ACEL/TETANUS (OBSOLETE)",d03110
PERINDOPRIL,d04440
ACETAMINOPHEN,d00049
ASCORBIC ACID,d00426
ASCORBIC ACID,d00426
SILVER TOPICAL,d07518
ACETAMINOPHEN,d00049
ACETYLCYSTEINE,d00762
ACETAMINOPHEN-DIPHENHYDRAMINE,d03445
ACETAMINOPHEN-PHENYLTOLOXAMINE,d03297
ACETAMINOPHEN,d00049
ACETAMINOPHEN,d00049
ACETAMINOPHEN,d00049
ACETAMINOPHEN,d00049
ACETAMINOPHEN,d00049
ACETAMINOPHEN,d00049
ACETAMINOPHEN-PHENYLEPHRINE,d03923
ACETAMINOPHEN,d00049
ACETAMINOPHEN,d00049
ACETAMINOPHEN,d00049
ACETAMINOPHEN,d00049
ACETAMINOPHEN,d00049
ACETAMINOPHEN,d00049
ACETAMINOPHEN,d00049
ACETAMINOPHEN-DIPHENHYDRAMINE,d03445
ACETAMINOPHEN-DIPHENHYDRAMINE,d03445
ACETAMINOPHEN,d00049
ACETAMINOPHEN,d00049
ACETAMINOPHEN/ASPIRIN/CAFFEINE,d03439
ACETAMINOPHEN/BUTALBITAL/CAFFEINE,d03455
ACETAMINOPHEN/BUTALBITAL/CAFFEINE/CODEINE,d03425
ACETAMINOPHEN/CAFFEINE/DIHYDROCODEINE,d04269
ACETAMINOPHEN/CAFFEINE/ISOMETHEPTENE MUCATE,d05644
ACETAMINOPHEN/CAFFEINE/ISOMETHEPTENE MUCATE,d05644
ACETAMINOPHEN-BENZHYDROCODONE,d08754
ACETAMINOPHEN-BUTALBITAL,d03456
ACETAMINOPHEN-CAFFEINE,d03922
ACETAMINOPHEN-CODEINE,d03423
ACETAMINOPHEN-DIPHENHYDRAMINE,d03445
ACETAMINOPHEN-HYDROCODONE,d03428
ACETAMINOPHEN-IBUPROFEN,d07755
ACETAMINOPHEN-OXYCODONE,d03431
ACETAMINOPHEN-PENTAZOCINE,d03682
ACETAMINOPHEN-PROPOXYPHENE,d03434
ACETAMINOPHEN-PROPOXYPHENE,d03434
ACETAMINOPHEN-PSEUDOEPHEDRINE,d03289
ACETAMINOPHEN-TRAMADOL,d04766
ACETIC ACID OTIC,d04228
ACETIC ACID-HYDROCORTISONE OTIC,d03625
ACETAZOLAMIDE,d00161
ACETAZOLAMIDE,d00161
ACETIC ACID TOPICAL,d03623
ACETIC ACID TOPICAL,d03623
ACETIC ACID TOPICAL,d03623
ACETIC ACID OTIC,d04228
ACETIC ACID-ALUMINUM ACETATE OTIC,d04033
ACETIC ACID-HYDROCORTISONE OTIC,d03625
TRIAMCINOLONE,d00620
ACETOHEXAMIDE,d00162
ACETYLCHOLINE OPHTHALMIC,d01188
ACETYLCYSTEINE,d00762
ASPIRIN,d00170
TETRACYCLINE TOPICAL,d03738
RANITIDINE,d00021
RANITIDINE,d00021
FAMOTIDINE,d00141
ALUMINUM HYDROXIDE-MAGNESIUM CARBONATE,d07853
ALGINIC ACID/AL HYDROXIDE/MG CARBONATE,d03591
ALGINIC ACID/AL HYDROXIDE/MG TRISILICATE,d03596
ALUMINUM HYDROXIDE-MAGNESIUM CARBONATE,d07853
ACETIC ACID TOPICAL,d03623
FLUORIDE TOPICAL,d04397
RANITIDINE,d00021
ESOMEPRAZOLE,d04749
FAMOTIDINE,d00141
LANSOPRAZOLE,d03828
RANITIDINE,d00021
RANITIDINE,d00021
CALCIUM CARBONATE/FAMOTIDINE/MAGNESIUM HYDROXIDE,d04723
DIHYDROXYALUMINUM SODIUM CARBONATE,d00980
ACETIC ACID TOPICAL,d03623
"EMOLLIENTS, TOPICAL",d03770
LACTOBACILLUS ACIDOPHILUS,d03644
LACTOBACILLUS ACIDOPHILUS,d03644
LACTOBACILLUS ACIDOPHILUS,d03644
LACTOBACILLUS ACIDOPHILUS,d03644
LACTOBACILLUS ACIDOPHILUS,d03644
BIFIDOBACTERIUM-LACTOBACILLUS,d07400
LACTOBACILLUS ACIDOPHILUS,d03644
FLUORIDE TOPICAL,d04397
ACETIC ACID TOPICAL,d03623
PENICILLIN,d00116
PENTOXIFYLLINE-TRIAMCINOLONE TOPICAL,d10019
AZELAIC ACID-NIACINAMIDE TOPICAL,d09993
RABEPRAZOLE,d04448
RABEPRAZOLE,d04448
ACITRETIN,d03836
HYDROQUINONE TOPICAL,d01319
HYDROQUINONE TOPICAL,d01319
ALCLOMETASONE TOPICAL,d01282
BENZOYL PEROXIDE TOPICAL,d01246
BENZOYL PEROXIDE TOPICAL,d01246
BENZOYL PEROXIDE TOPICAL,d01246
BENZOYL PEROXIDE TOPICAL,d01246
BENZOYL PEROXIDE TOPICAL,d01246
BENZOYL PEROXIDE TOPICAL,d01246
"EMOLLIENTS, TOPICAL",d03770
BENZOYL PEROXIDE TOPICAL,d01246
BENZOYL PEROXIDE TOPICAL,d01246
SALICYLIC ACID TOPICAL,d01307
BENZOYL PEROXIDE TOPICAL,d01246
RESORCINOL-SULFUR TOPICAL,d04045
RESORCINOL-SULFUR TOPICAL,d04045
GUAIFENESIN-HYDROCODONE,d03396
ARGATROBAN,d04698
FLUORIDE TOPICAL,d04397
FLUORIDE TOPICAL,d04397
FLUORIDE TOPICAL,d04397
FLUORIDE TOPICAL,d04397
FLUORIDE TOPICAL,d04397
FLUORIDE TOPICAL,d04397
FLUORIDE TOPICAL,d04397
FLUORIDE TOPICAL,d04397
PSEUDOEPHEDRINE-TRIPROLIDINE,d03316
PSEUDOEPHEDRINE-TRIPROLIDINE,d03316
PSEUDOEPHEDRINE-TRIPROLIDINE,d03316
ACETAMINOPHEN,d00049
PSEUDOEPHEDRINE-TRIPROLIDINE,d03316
PSEUDOEPHEDRINE-TRIPROLIDINE,d03316
TOCILIZUMAB,d07496
TOCILIZUMAB,d07496
CORTICOTROPIN,d00604
CORTICOTROPIN,d00604
CORTICOTROPIN,d00604
CORTICOTROPIN,d00604
CORTICOTROPIN,d00604
CORTICOTROPIN,d00604
CORTICOTROPIN,d00604
HAEMOPHILUS B CONJUGATE (PRP-T) VACCINE,d05343
"DIPHTHERIA/HAEMOPH/PERTUSSIS,ACEL/TETANUS VACCINE",d04320
CORTICORELIN,d04013
YOHIMBINE,d01386
LEVOCARNITINE,d00491
PERMETHRIN TOPICAL,d01279
DOXYCYCLINE,d00037
DEXBROMPHENIRAMINE-PSEUDOEPHEDRINE,d03751
HYDROCORTISONE TOPICAL,d03205
ACETAMINOPHEN-DEXBROMPHENIRAMINE,d07915
DEXTROMETHORPHAN/GUAIFENESIN/PHENYLEPHRINE,d03408
CHARCOAL,d01028
CHARCOAL,d01028
PSEUDOEPHEDRINE-TRIPROLIDINE,d03316
DIPHENHYDRAMINE-PSEUDOEPHEDRINE,d03312
CHLORPHENIRAMINE-PHENYLEPHRINE,d03300
ACETAMINOPHEN/PSEUDOEPHEDRINE/TRIPROLIDINE,d03330
ACETAMINOPHEN/CHLORPHENIRAMINE/PSE,d03320
ACETAMINOPHEN/PSEUDOEPHEDRINE/TRIPROLIDINE,d03330
ACETAMINOPHEN/DIPHENHYDRAMINE/PSEUDOEPHEDRINE,d04168
CODEINE/PSEUDOEPHEDRINE/TRIPROLIDINE,d03363
MULTIVITAMIN WITH MINERALS,d03145
COLLAGEN TOPICAL,d06900
URSODIOL,d01005
INTERFERON GAMMA-1B,d03008
DEXTROMETHORPHAN/GUAIFENESIN/PSEUDOEPHEDRINE,d03409
DEXTROMETHORPHAN/GUAIFENESIN/PSEUDOEPHEDRINE,d03409
MASOPROCOL TOPICAL,d01316
FENTANYL,d00233
MULTIVITAMIN WITH IRON,d03141
ALTEPLASE,d00521
CHARCOAL,d01028
CHARCOAL,d01028
PSEUDOEPHEDRINE-TRIPROLIDINE,d03316
MULTIVITAMIN WITH IRON,d03141
MULTIVITAMIN WITH MINERALS,d03145
"MULTIVITAMIN, PRENATAL",d03148
UBIQUINOL,d08412
ESTRADIOL-NORETHINDRONE,d04375
MENTHOL TOPICAL,d03665
MULTIVITAMIN WITH MINERALS,d03145
MULTIVITAMIN WITH MINERALS,d03145
MULTIVITAMIN WITH MINERALS,d03145
MULTIVITAMIN WITH MINERALS,d03145
MULTIVITAMIN WITH MINERALS,d03145
MENTHOL TOPICAL,d03665
MENTHOL TOPICAL,d03665
RISEDRONATE,d04300
CALCIUM CARBONATE-RISEDRONATE,d05630
METFORMIN-PIOGLITAZONE,d05635
METFORMIN-PIOGLITAZONE,d05635
PIOGLITAZONE,d04442
KETOPROFEN,d00028
ACETAMINOPHEN-PHENYLTOLOXAMINE,d03297
KETOROLAC OPHTHALMIC,d03214
KETOROLAC OPHTHALMIC,d03214
KETOROLAC OPHTHALMIC,d03214
ASPIRIN,d00170
PHENYLPROPANOLAMINE,d00767
PHENYLPROPANOLAMINE,d00767
PHENYLPROPANOLAMINE,d00767
BROMPHENIRAMINE/DM/GUAIFENESIN/PPA,d04724
KETOROLAC OPHTHALMIC,d03214
ACYCLOVIR/DYCLONINE/TRIAMCINOLONE TOPICAL,d10168
ACYCLOVIR,d00001
ACYCLOVIR,d00001
ACYCLOVIR TOPICAL,d03201
ACETYLCYSTEINE,d00762
DAPSONE TOPICAL,d05543
TETANUS/DIPHTHERIA/PERTUSSIS (TDAP) ADULT/ADOLESCENT VACCINE,d05781
PEGADEMASE BOVINE,d01180
ADAPALENE/BENZOYL PEROXIDE/CLINDAMYCIN TOPICAL,d09734
ADAPALENE/BENZOYL PEROXIDE/NIACINAMIDE TOPICAL,d09744
CRIZANLIZUMAB,d09436
NIFEDIPINE,d00051
NIFEDIPINE,d00051
ADALIMUMAB,d04835
ADALIMUMAB,d04835
ADALIMUMAB,d04835
ADALIMUMAB,d04835
ADALIMUMAB,d04835
NIACINAMIDE-SPIRONOLACTONE TOPICAL,d09643
ADAPALENE TOPICAL,d04015
ADAPALENE TOPICAL,d04015
ADAPALENE-BENZOYL PEROXIDE TOPICAL,d07382
DOXEPIN,d00217
LOXAPINE,d00897
BETAMETHASONE,d00628
TRALOKINUMAB,d09820
TRALOKINUMAB,d09820
MULTIVITAMIN WITH FLUORIDE,d03143
MULTIVITAMIN WITH FLUORIDE,d03143
BRENTUXIMAB VEDOTIN,d07799
TADALAFIL,d04896
TRACE ELEMENTS WITH SELENIUM AND IODIDE,d03720
AMPHETAMINE-DEXTROAMPHETAMINE,d04035
AMPHETAMINE-DEXTROAMPHETAMINE,d04035
FLIBANSERIN,d08377
MULTIVITAMIN WITH FLUORIDE,d03143
ADEFOVIR,d04814
ADAPALENE/BENZOYL PEROXIDE/CLINDAMYCIN TOPICAL,d09734
MULTIVITAMIN WITH MINERALS,d03145
MULTIVITAMIN WITH MINERALS,d03145
RIOCIGUAT,d08140
CYANOCOBALAMIN,d00413
ADENOSINE/LIDOCAINE/MAGNESIUM SULFATE,d09587
ADENOSINE,d00164
ADENOSINE,d00164
ADENOSINE,d00164
ADENOSINE,d00164
ADENOSINE,d00164
ADENOSINE,d00164
ADENOSINE,d00164
BENZOYL PEROXIDE/CLINDAMYCIN/NIACINAMIDE/TRETINOIN TOPICAL,d09970
BENZOYL PEROXIDE/CLINDAMYCIN/NIACINAMIDE/TRETINOIN TOPICAL,d09970
PROMETHAZINE,d00787
METHYLPHENIDATE,d00900
PHENTERMINE,d00806
PHENDIMETRAZINE,d00809
DONEPEZIL,d04099
METHYLPREDNISOLONE,d00293
METHYLPREDNISOLONE,d00293
LIXISENATIDE,d08068
INSULIN LISPRO,d04373
INSULIN LISPRO,d04373
DAPSONE/NIACINAMIDE/SPIRONOLACTONE TOPICAL,d09647
DAPSONE/NIACINAMIDE/SPIRONOLACTONE TOPICAL,d09647
DOXYCYCLINE,d00037
DOXYCYCLINE,d00037
DOXYCYCLINE,d00037
ACETAMINOPHEN,d00049
EPINEPHRINE,d00699
EPINEPHRINE,d00699
MULTIVITAMIN WITH MINERALS,d03145
EPINEPHRINE,d00699
EPINEPHRINE,d00699
EPINEPHRINE TOPICAL,d01181
EPINEPHRINE TOPICAL,d01181
ACETYLCYSTEINE-TYROSINE,d09957
DEXAMETHASONE,d00206
DEXAMETHASONE,d00206
IOBENGUANE I-123,d05732
DOXORUBICIN,d00218
DOXORUBICIN,d00218
DOXORUBICIN,d00218
FLUOROURACIL,d00235
PILOCARPINE OPHTHALMIC,d01191
"SODIUM CHLORIDE, HYPERTONIC, OPHTHALMIC",d03898
OCULAR LUBRICANT,d03768
NADOFARAGENE FIRADENOVEC,d10080
THYROID DESICCATED,d00655
ADUCANUMAB,d09759
ASPIRIN,d00170
ASPIRIN,d00170
ACETAMINOPHEN/DEXTROMETHORPHAN/GUAIFENESIN/PHENYLEPHRINE,d05778
DEXTROMETHORPHAN-GUAIFENESIN,d03400
ASPIRIN,d00170
MULTIVITAMIN WITH MINERALS,d03145
MULTIVITAMIN WITH MINERALS,d03145
ASPIRIN-CAFFEINE,d03449
DEXTROMETHORPHAN/GUAIFENESIN/PHENYLEPHRINE,d03408
ASPIRIN-CAFFEINE,d03449
DEXTROMETHORPHAN-GUAIFENESIN,d03400
FLUTICASONE-SALMETEROL,d04611
FLUTICASONE-SALMETEROL,d04611
"MULTIVITAMIN, PRENATAL",d03148
TETRAHYDROZOLINE-ZINC OPHTHALMIC,d04897
MULTIVITAMIN WITH MINERALS,d03145
ALUMINUM HYDROXIDE/MAGNESIUM HYDROXIDE/SIMETHICONE,d03478
MULTIVITAMIN WITH MINERALS,d03145
OCULAR LUBRICANT,d03768
NAPHAZOLINE OPHTHALMIC,d00771
CA CARBONATE/MG HYDROXIDE/SIMETHICONE,d03480
"MULTIVITAMIN, PRENATAL",d03148
IBUPROFEN,d00015
TETRAHYDROZOLINE OPHTHALMIC,d00773
MELATONIN,d04058
NONOXYNOL 9 TOPICAL,d01242
NONOXYNOL 9 TOPICAL,d01242
ANTIHEMOPHILIC FACTOR,d05974
ANTIHEMOPHILIC FACTOR,d05974
LOVASTATIN-NIACIN,d04787
IBUPROFEN,d00015
CHLORPHENIRAMINE/IBUPROFEN/PHENYLEPHRINE,d08667
CHLORPHENIRAMINE/IBUPROFEN/PSEUDOEPHEDRINE,d04863
IBUPROFEN,d00015
CHLORPHENIRAMINE/IBUPROFEN/PSEUDOEPHEDRINE,d04863
IBUPROFEN-PSEUDOEPHEDRINE,d03292
IBUPROFEN-PSEUDOEPHEDRINE,d03292
ACETAMINOPHEN-IBUPROFEN,d07755
IBUPROFEN,d00015
IBUPROFEN,d00015
IBUPROFEN,d00015
IBUPROFEN,d00015
IBUPROFEN,d00015
CHLORPHENIRAMINE/IBUPROFEN/PSEUDOEPHEDRINE,d04863
CHLORPHENIRAMINE/IBUPROFEN/PHENYLEPHRINE,d08667
IBUPROFEN,d00015
DIPHENHYDRAMINE-IBUPROFEN,d05819
DIPHENHYDRAMINE-IBUPROFEN,d05819
IBUPROFEN-PHENYLEPHRINE,d07487
CAMPHOR/CAPSICUM/MENTHOL/METHYL SALICYLATE TOPICAL,d09070
ANTIHEMOPHILIC FACTOR,d05974
AMPHETAMINE,d00803
AMPHETAMINE,d00803
"APADAMTASE ALFA, RECOMBINANT",d10146
RIFAMYCIN,d08756
CHLOROXYLENOL/HYDROCORTISONE/PRAMOXINE OTIC,d04076
THIMEROSAL TOPICAL,d01330
FLUNISOLIDE,d00761
FLUNISOLIDE,d00761
POVIDONE IODINE TOPICAL,d00346
CHLORPHENIRAMINE-METHSCOPOLAMINE,d05411
CHLORPHENIRAMINE/METHSCOPOLAMINE/PE,d03338
CHLORPHENIRAMINE/METHSCOPOLAMINE/PE,d03338
THEOPHYLLINE,d00142
THEOPHYLLINE,d00142
THEOPHYLLINE,d00142
DEXAMETHASONE TOPICAL,d00626
HYDROCORTISONE TOPICAL,d03205
FLUNISOLIDE,d00761
BENZOIN TOPICAL,d03649
NIFEDIPINE,d00051
ANTHRALIN TOPICAL,d01254
EVEROLIMUS,d05626
EVEROLIMUS,d05626
ETHINYL ESTRADIOL-LEVONORGESTREL,d03242
NAPROXEN,d00019
"INFLUENZA VIRUS VACCINE, INACTIVATED",d01164
"INFLUENZA VIRUS VACCINE, INACTIVATED",d01164
"INFLUENZA VIRUS VACCINE, INACTIVATED",d01164
"INFLUENZA VIRUS VACCINE, INACTIVATED",d01164
"INFLUENZA VIRUS VACCINE, INACTIVATED",d01164
"INFLUENZA VIRUS VACCINE, INACTIVATED",d01164
"INFLUENZA VIRUS VACCINE, INACTIVATED",d01164
"INFLUENZA VIRUS VACCINE, INACTIVATED",d01164
"INFLUENZA VIRUS VACCINE, INACTIVATED",d01164
"INFLUENZA VIRUS VACCINE, INACTIVATED",d01164
"INFLUENZA VIRUS VACCINE, INACTIVATED",d01164
"INFLUENZA VIRUS VACCINE, INACTIVATED",d01164
"INFLUENZA VIRUS VACCINE, INACTIVATED",d01164
"INFLUENZA VIRUS VACCINE, INACTIVATED",d01164
"INFLUENZA VIRUS VACCINE, INACTIVATED",d01164
"INFLUENZA VIRUS VACCINE, INACTIVATED",d01164
"INFLUENZA VIRUS VACCINE, INACTIVATED",d01164
"INFLUENZA VIRUS VACCINE, INACTIVATED",d01164
"INFLUENZA VIRUS VACCINE, INACTIVATED",d01164
"INFLUENZA VIRUS VACCINE, INACTIVATED",d01164
"INFLUENZA VIRUS VACCINE, INACTIVATED",d01164
"INFLUENZA VIRUS VACCINE, INACTIVATED",d01164
"INFLUENZA VIRUS VACCINE, INACTIVATED",d01164
"INFLUENZA VIRUS VACCINE, INACTIVATED",d01164
"INFLUENZA VIRUS VACCINE, INACTIVATED",d01164
"INFLUENZA VIRUS VACCINE, INACTIVATED",d01164
"INFLUENZA VIRUS VACCINE, INACTIVATED",d01164
"INFLUENZA VIRUS VACCINE, INACTIVATED",d01164
"INFLUENZA VIRUS VACCINE, INACTIVATED",d01164
"INFLUENZA VIRUS VACCINE, INACTIVATED",d01164
"INFLUENZA VIRUS VACCINE, INACTIVATED",d01164
"INFLUENZA VIRUS VACCINE, INACTIVATED",d01164
"INFLUENZA VIRUS VACCINE, INACTIVATED",d01164
"INFLUENZA VIRUS VACCINE, INACTIVATED",d01164
"INFLUENZA VIRUS VACCINE, INACTIVATED",d01164
"INFLUENZA VIRUS VACCINE, INACTIVATED",d01164
"INFLUENZA VIRUS VACCINE, INACTIVATED",d01164
"INFLUENZA VIRUS VACCINE, INACTIVATED",d01164
"INFLUENZA VIRUS VACCINE, INACTIVATED",d01164
"INFLUENZA VIRUS VACCINE, INACTIVATED",d01164
"INFLUENZA VIRUS VACCINE, INACTIVATED",d01164
"INFLUENZA VIRUS VACCINE, INACTIVATED",d01164
"INFLUENZA VIRUS VACCINE, INACTIVATED",d01164
"INSULIN INHALATION, RAPID ACTING",d05765
"INSULIN INHALATION, RAPID ACTING",d05765
"INSULIN INHALATION, RAPID ACTING",d05765
"INSULIN INHALATION, RAPID ACTING",d05765
"INSULIN INHALATION, RAPID ACTING",d05765
"INSULIN INHALATION, RAPID ACTING",d05765
"INSULIN INHALATION, RAPID ACTING",d05765
OXYMETAZOLINE NASAL,d00772
PHENYLEPHRINE NASAL,d04186
OXYMETAZOLINE NASAL,d00772
OXYMETAZOLINE NASAL,d00772
OXYMETAZOLINE NASAL,d00772
SODIUM CHLORIDE NASAL,d04242
PHENYLEPHRINE NASAL,d04186
OXYMETAZOLINE NASAL,d00772
OXYMETAZOLINE NASAL,d00772
OXYMETAZOLINE NASAL,d00772
OXYMETAZOLINE NASAL,d00772
OXYMETAZOLINE NASAL,d00772
OXYMETAZOLINE NASAL,d00772
SODIUM CHLORIDE NASAL,d04242
OXYMETAZOLINE NASAL,d00772
OXYMETAZOLINE NASAL,d00772
PSEUDOEPHEDRINE,d00769
ANTIHEMOPHILIC FACTOR,d05974
TOLNAFTATE TOPICAL,d01274
TOLNAFTATE TOPICAL,d01274
LEVONORGESTREL,d00557
CHLORPHENIRAMINE/HYDROCODONE/PSE,d03416
VAMOROLONE,d10127
AMPRENAVIR,d04428
TIROFIBAN,d04315
ASPIRIN-DIPYRIDAMOLE,d04497
LIDOCAINE-PRILOCAINE TOPICAL,d03655
MINERAL OIL-PHENOLPHTHALEIN,d03503
MINERAL OIL,d01019
"INFLUENZA VIRUS VACCINE, INACTIVATED",d01164
ANAGRELIDE,d04126
CHLORPHENIRAMINE/METHSCOPOLAMINE/PE,d03338
PHENYLEPHRINE,d00704
CHLORPHENIRAMINE/METHSCOPOLAMINE/PE,d03338
CHLORPHENIRAMINE/METHSCOPOLAMINE/PE,d03338
CHLORPHENIRAMINE/METHSCOPOLAMINE/PE,d03338
CHLORCYCLIZINE,d07681
CHLORPHENIRAMINE,d00191
HYDROCORTISONE,d00254
DIPHENHYDRAMINE,d00212
ERENUMAB,d08796
ERENUMAB,d08796
ERENUMAB,d08796
CODEINE/DIPHENHYDRAMINE/PHENYLEPHRINE,d07367
MULTIVITAMIN WITH MINERALS,d03145
MULTIVITAMIN WITH MINERALS,d03145
MULTIVITAMIN WITH MINERALS,d03145
MULTIVITAMIN WITH MINERALS,d03145
MULTIVITAMIN WITH MINERALS,d03145
MULTIVITAMIN WITH MINERALS,d03145
MULTIVITAMIN WITH MINERALS,d03145
MULTIVITAMIN WITH MINERALS,d03145
FLUTICASONE-SALMETEROL,d04611
FLUTICASONE-SALMETEROL,d04611
ALBUTEROL,d00749
GUAIFENESIN,d00797
ALBUTEROL-BUDESONIDE,d09969
FREMANEZUMAB,d08897
FREMANEZUMAB,d08897
LEVOBUNOLOL OPHTHALMIC,d01187
