raw_drug,drug_id
aggreviox 200,d04497
aggrorox,d04497
aggtenox,d04497
aggunix,d04497
agrenox,d04497
agrylin,d04126
airborne im,n10002
akbyterik,xxxxxx
akorazolam,xxxxxx
alamast,d04458
alandronate,d03849
alaprazolam,d00168
alarert,d03050
alavert,d03050
alavert or loratadine,d03050
albetrol,d00749
albipratrom nebs,d00749
albuetor,d00749
albulerol,d00749
albutenal mdi,d00749
albutenol,d00749
albuteral,d00749
albuteral inh,d00749
albuteral inh.,xxxxxx
albuteral inhaler,d00749
albuteral nebulizer,d00749
albuteroal inhaler,d00749
albuterol,d00749
albuterol  usp,d00749
albuterol (inhaler),d00749
albuterol (nebuliza),d00749
albuterol (puffs),d00749
albuterol / prn,d00749
albuterol 0.083 percent,d00749
albuterol 1 puff,d00749
albuterol 90/ipratrop,d04066
albuterol and advair as needed,d00749
albuterol hfa,d00749
albuterol inh,d00749
albuterol inh.,d00749
albuterol inhalation,d00749
albuterol inhaler,d00749
albuterol inhaler(2.5/5mg),d00749
albuterol mdi,d00749
albuterol neb,d00749
albuterol neblizer,d00749
albuterol nebrilizer,d00749
albuterol nebulizer,d00749
albuterol sulfate,d00749
albuterol tx,d00749
albuterol updraft,d00749
albuterol usp,d00749
albuterol usp inh.,d00749
albuterol via nebulizer,d00749
albuterol-ipratropium,d04066
albuterol/ipratropium,d04066
albuterolol,d00749
albutol,d00749
albutrol,d00749
albvlerol,d00749
alclometasone,d01282
alcopurinol,d00023
aldacizide,d03247
aldactazide,d03247
aldactone,d00373
aldara,d04125
aldara cream,d04125
aldomet,d00133
aledronate,d03849
alendronate,d03849
alendronate (fosamax),xxxxxx
alendronate sodium,d03849
alendronate/fosamax,d03849
alendronath,d03849
alenolol,d00004
alenoronate,d03849
alesse,d03242
aleuolol,d00004
aleve,d00019
alfagan,d04048
alfuzosin,d04797
alfuzosin hcl,d04797
alhace,d00728
alkets,d00425
allapurinol,d00023
allegra,d04040
allegra - d,d04040
allegra d,d04270
allegra er,d04040
allegra fexofenade,d04040
allegra-d,d04270
allegra-d 12hr,d04270
allegrea,d04040
allegro,d04040
allegro nasal spray,d04040
allera d,d04040
allerclear,r10012
allerga,d04040
allergan,d03627
allergen,d03627
allergra,xxxxxx
allergy med.,d00212
allergy shots,xxxxxx
allerx,d03300
alloburinal,d00023
alloparinol,d00023
alloperinol,d00023
allophrinol,d00023
allopinoil,d00023
allopirrinol,d00023
alloporinol,d00023
alloprurinol,d00023
allopumil,d00023
allopumol,d00023
allopuninol,d00023
allopunnol,xxxxxx
allopunol,d00023
allopurinal,d00023
allopurind,d00023
allopurine,d00023
allopurinol,d00023
allopurinol?,xxxxxx
allopurirol,d00023
allopurlnol,d00023
allopurnial,d00023
allopurnol,d00023
allopuurinol,d00023
allopwinol,d00023
allopwrinal,d00023
allopyrinol,d00023
allourinol,d00023
allppurinol,d00023
allprazolam,d00168
allpurinil,d00023
allpurinol,d00023
allulerol,d00023
alluprilnol,d00023
allupurine,d00023
allupurinol,d00023
alluterol,d00749
alocril,d04503
aloprolinol,d00023
alopurinol,d00023
alpagen,d04048
alpha blocker uratrox,d04797
alpha-gan,d04048
alphagam,d04048
alphagan,d04048
alphagan (15 pct) (eyedrop),d04048
alphagan (eyedrop),d04048
alphagan 0.001  2gtts l eye,d04048
alphagan 0.0015 drops,d04048
alphagan 0.015 percent,xxxxxx
alphagan 0.15 percent,xxxxxx
alphagan 1 gtt,d04048
alphagan drops,d04048
alphagan eye drop,d04048
alphagan eye drops,d04048
alphagan eye gtts,xxxxxx
alphagan gi,d04048
alphagan gtts,d04048
alphagan gtts od,d04048
alphagan gtts ou,d04048
alphagan opth,d04048
alphagan opth sal,xxxxxx
alphagan opthalmic solution,d04048
alphagan ou,d04048
alphagan p,d04048
alphagan p     2 drops -l eye,d04048
alphagan p .15,d04048
alphagan p eye drop,d04048
alphagan p ou,d04048
alphagan p.,d04048
alphagen,d04048
alphagen drops,d04048
alphagen opthalmic drops,d04048
alphagim,d04048
alphagon,d04048
alphanson,d04048
alphaqan,d04048
alphgan,d04048
alprazalam,d00168
alprazalam (xanax),d00168
alprazalom,d00168
alprazolam,d00168
alprazolam 0.125,d00168
alprazolam 0.125-0.25,d00168
alprazolam 0.25,d00168
alprazolan,d00168
alprazolani,d00168
alprazolom,d00168
alprazolon,d00168
alprezolan,d00168
alprostadil,d01387
alprozolam,d00168
alprozolin,xxxxxx
alprozolone,d00168
alpurinol,d00023
alrex,d04292
alrex 0.2 percent,xxxxxx
alrprazolan,d00168
altaca,d00728
altacan,d03981
altace,d00728
altase,d00728
altce,d00728
altece,d00728
alterase,d01002
altocor,d00280
altoprev,d00280
altoprev la,d00280
altpace,d00728
altrace,d00728
alzhemed,r10001
alzhemed/study drug,xxxxxx
alzprazolam,d00168
amantadine,d00086
amantadine hcl,d00086
amantidine,d00086
amantudine,d00086
amargl,d03864
amaril,d03864
amaryl,d03864
amatadine,d00086
amatine,d04047
ambein,d00910
ambian,d00910
ambiem,d00910
ambien,d00910
ambien cr,d00910
ambien prn,d00910
ambiex,d00910
ambion,d00910
ambrotose,s10105
amcinonide,d01283
amcinonide topical cream,d01283
amcodipine,d00689
amcoidpine,d00689
ameodarone,d00002
ameprazole,d00325
amerge,d04285
amerol,d03864
amilodipine,d00689
amilor,d00169
amiloride,d00169
amiloride (tablet),d00169
amiloride hcl,d00169
amiloride/hctz,d03193
amilovide hcl,d00169
amino dorone,d00002
amiodadrone,d00002
amiodanone,d00002
amiodarine,d00002
amiodarne,d00002
amiodarone,d00002
amiodarone hcl,d00002
amiodarone hydrochloride,d00002
amioderone,d00002
amiodiorone,d00002
amiodipine,d00689
amiodirone hcl,d00002
amiodorine,d00002
amiodorone,d00002
amiodrome,d00002
amiodrone,d00002
amitirptyline,d00146
amitiza,d05736
amitmptyline,d00146
amitridthline,d00146
amitriplyline,d00146
amitriptiline,d00146
amitriptylere,d00146
amitriptyliine,d00146
amitriptylin,d00146
amitriptyline,d00146
amitriptyline hcl,d00146
amitriptyline hlc,d00146
amitriptyline hydrochloride,d00146
amitriptylline,d00146
amitripyline,d00146
amitripylline,d00146
amitrityline,d00146
amitryatyline,d00146
amitryp,d00146
amitryptaline,d00146
amitryptem,d00146
amitryptiline,d00146
amitryptillin,d00146
amitryptilne,d00146
amitryptline,d00146
amitryptylin,d00146
amitryptyline,d00146
amitryptylline,d00146
amitryptylline hcl,d00146
amitrytyline,d00146
amlodepine besulol,d03829
amlodiine,d00689
amlodine,d00689
amlodipan,d00689
amlodipe,d00689
amlodipidene,d00689
amlodipihe-beraz,d03829
amlodipin,d00689
amlodipine,d00689
amlodipine 2.5,d00689
amlodipine benazepiul,d03829
amlodipine benazepril,d03829
amlodipine benylate,d00689
amlodipine besylate,d00689
amlodipine boylate,d00689
amloditine,d00689
amlodopine / benzapril,d03829
amlodoprine,d00689
amlodpni,d00689
amlodyin,d00689
amlopidine,d00689
ammonium lactate,d04049
ammonium lactate (lotion12pct),d04049
amodarone,d00002
amonium lactate cream,d04049
amoryl,d03864
amotripoline,d00146
amour thyroid,d00655
amox clax,xxxxxx
amoxacillin,d00088
amoxcillin,d00088
amoxicilin,d00088
amoxicillan,d00088
amoxicillian,d00088
amoxicillian/ lansoprazole/ cl,d04272
amoxicillin,d00088
amoxicillin (d/c 2/11),d00088
amoxicillin (prior to dental a,d00088
amoxicillin / dox,d00088
amoxicillin/clantanate k,d00089
amoxil,d00088
amoxycillin,d00088
amoxycillo,d00088
amphetamine-dextroamphetamine,d04035
ampicillin,d00003
amplodine,d00689
amtode[ressamt,xxxxxx
amtriptyline,d00146
amtriptyline hcl,d00146
amytreptalline,d00146
amytripiline,d00146
amytriptelline,d00146
amytriptyline,d00146
amytriptylline,d00146
amytripyline,d00146
analapril,d00013
analpram-hc,d03546
anaprox,d00019
anbien,d00910
andr0gel,d00558
androderm,d00558
androderm patch,d00558
androderm testosterone,d00558
androgel,d00558
androgel (1 pct),d00558
androgel 17% gel,d00558
androgel gel,d00558
anexsia,d03428
anextuss,d03408
anifedipine,d00051
anjagusg,d01389
anphetamine,d04035
anrvastatin,d04105
antabuse,d01389
antacid,xxxxxx
antanel,d04300
antara,d04286
anthypertensive,xxxxxx
antidepressant,xxxxxx
antifungal gel,d03195
antihistamine,d00212
antihypertensive,xxxxxx
antivert,d00859
antvert,d00859
anusol,xxxxxx
anx,d00907
aobuterol,d00749
apap,xxxxxx
apap (acetaminophen),xxxxxx
apap/codeine,d03428
apap/codinin,d03423
aphagan drops,d04048
aphagan gtts,d04048
aphagan od,d04048
aphagan ou,d04048
apidra insulin,d05278
apipiprazole,d04825
apo-carvedeol,d03847
apresoline,d00132
aprodine,d03316
aqualax,d01021
aquaphor cream,d03770
aquazide h,d00253
araicept,d04099
aranasep q 6 wks,d04771
aranesp,d04771
aranesp  (1m),d04771
aranest,d04771
aransep,d04771
arava,d04349
arcept,d04099
arcicept,d04099
arcipet,d04099
arecept,d04099
aredia,d00601
areicept,d04099
aremidick,xxxxxx
arenol,d04300
arginine,d00578
ariapt,d04099
ariccept,d04099
aricep,d04099
aricept,d04099
aricept .5,d04099
aricept 10mg 1 dose a day,d04099
aricept-dc 2007,d04099
aricet,d04099
aricipt,d04099
aricit,d04099
aricpept,d04099
aricpet,d04099
aricpt,d04099
ariept,d04099
arimadex,d03873
arimedex,d03873
arimidax,d03873
arimidex,d03873
aripiprazole,d04825
aripiprazole (abilify),d04825
aripraprazole,d04825
arm-a-med albuterol sulfate,d00749
armor thyroid,d00655
armorthyroid,d00655
armothyroid,d00655
armour thyroid,d00655
armourthyroid,d00655
armourtlyroid,d00655
aroce[t,d04099
arocet k,d04099
arolide,d04245
aromasin,d04461
aromosin,d04461
arrcept,d04099
arricept,d04099
artane,d00970
arthotec,d04271
arthritis pain medicine,d03884
arthrolec,d04271
arthrotec,d04271
arthrotec(50/200mg),d04271
artificial tears,d03768
artificial tem,d03768
as[ori,xxxxxx
asa,d00170
asa ec,d00170
asa-ec,d00170
asachol,d01031
asacol,d01031
asacol er,d01031
asauet,xxxxxx
ascol,d01031
ascorbic acid,d00426
ascorbic acid-ferrous fumarate,d03946
ascriptin,d00170
asmanex,d05262
asmanex inhaler,d05262
asmanex twisthaler,d05262
aspart insulin,d04697
aspart insulin sc,d04697
aspiren,d00170
aspirin,d00170
aspirin (coated),xxxxxx
aspirin 81,d00170
aspirin ec,d00170
aspirina,d00170
aspirinm,d00170
asprin,d00170
asprinin,d00170
aspririn,d00170
aspuirn,d00170
astalin,d04068
astelin,d04068
astelin inh.,d04068
astelin n/s,d04068
astelin nasal,d04068
astelin nasal spray,d04068
astelin spray,d04068
astelin- nasal spray,d04068
asteline,d04068
asteline nasel spray,d04068
astenlen,d04068
asthmacort,d00620
astilin,d04068
astilin nose spray,d04068
astorvastatin (lipitor),d04105
astrovent,d00265
asycodone,d00329
atacan,d04322
atacand,d04322
atacand (candesartan),d04322
atacand hct,d04711
atacand hct (32/12.5mg),d04711
atacand hctz,d04711
atacand htc,d04711
atacand w/hctz 32/12.5,d04711
atacand(16/12.5mg),d04322
atacand-hct,d04711
atacaned,d04322
atacans,d04322
atacard,d04322
atacend,d04322
atacond,d04322
atacond hci,xxxxxx
atalopram,d04332
atarax,d00907
atarvastatin,d04105
atavan,d00149
atavastatin,d04105
atcuc;pbemzaprine,xxxxxx
atemp;p;,xxxxxx
atenalol,d00004
atendol,d00004
atenelol,d00004
atenenol,d00004
atenlol,d00004
atenol,d00004
atenol chlor,d03258
atenol chloride,d03258
atenol of ?,xxxxxx
atenolal,d00004
atenolo,d00004
atenolo1,d00004
atenolol,d00004
atenolol   50/25,d00004
atenolol 12.5,d00004
atenolol chol,d03258
atenolol inhaler,d00004
atenolol nebulizer,d00004
atenolol xl,d00004
atenolol-chlorthalidone,d03258
atenolol/chlorthal 50/25,d03258
atenolol/chlorthalidone,d03258
atenolol/hctz,d03258
atenololo,d00004
atenonol,d00004
atenulol,d00004
aterolol,d00004
atetnolol,d00004
ateulool,d00004
ateunlol,d00004
ativan,d00149
ativan benedryl haldol cream,d00149
ativn,d00149
atlace,d00728
atnolol,d00004
atonel,d00004
atorvast,d04105
atorvastatin,d04105
atorvastin,d04105
atorvastotin,d04105
atrocand,d04322
atropine,d00174
atropine .01 r eye,d03212
atropine sulfate,d00174
atropine sulphate,d00174
atropine-diphenoxylat,d03506
atroven,d00265
atrovent,d00265
atrovent 0.03 percent,xxxxxx
atrovent 0.06 2sprays,d04235
atrovent 0.06 percent,xxxxxx
atrovent 1 puff,d04235
atrovent hfa,d00265
atrovent inh,d04235
atrovent inhailer,d04235
atrovent inhal,d00265
atrovent inhaler,d00265
atrovent nasal,d04235
atrovent nasal spray,d04235
atrovent nasel,d04235
atrovert,d00265
atrovert advair,d00265
atrovet,d00265
attace,d00728
augmentin,d00089
auoxeline/prozac,d00236
auralgan,d06857
auro-dri,d07407
avadart,d04788
avadia,d04434
avage cream,d04138
avalede,d04245
avalid,d04245
avalide,d04245
avalide  150/12.5,d04245
avalide 150,d04245
avalide 150 12.5 mg,d04245
avalide 150/12.5,d04245
avalide 150/12.5 mg,d04245
avalide 300,d04245
avalide 300/25,d04245
avalide hc 75/6.5,d04245
avalide hctz,d04245
avalide irbesartan,d04245
avalide/hctz,d04245
avalidi,d04245
avamdament,d04820
avanda,d04434
avandamet,d04820
avandamet  2/1000,d04820
avandamet 4/500,d04820
avandaryl,d05674
avandia,d04434
avandin,d04434
avandryl,d05674
avantia,d04434
avaota,d04261
avapar,d04222
avappo,d04222
avapro,d04222
avapro 150,d04222
avastin,d05214
avastine injection,d05214
avelox,d04500
avendia,d04434
avilade,d04245
avinza,d00308
avista,d04261
avitan,d01244
avodant,d04788
avodard,d04788
avodart,d04788
avodart 0.5,d04788
avodent,d04788
avondart,d04788
avopart,d04788
avostalin inj,d05214
axert,d04757
axid,d00322
aygestin,d00555
azasan,d00024
azathiopine,d00024
azathioprine,d00024
azathoprine,d00024
azelaic (cream 20 pct),d03848
azelastine,d04068
azilect,d05612
azilect .5,d05612
azilect 0.5,d05612
azithromycin,d00091
azma-cort,d00620
azmaart,d00620
azmacort,d00620
azmacort (puffs),d00620
azmacort 3-4 inhalations,d00620
azmacotic inhaler,d00620
azmacourt,d00620
azopt,d04301
azopt (eye drop),d04301
azopt .01,d04301
azopt 0.01,d04301
azopt 1  eye drops,d04301
azopt 1 percent,xxxxxx
azopt drops,d04301
azopt eye drop,d04301
azopt eye drops,d04301
azopt sus 0.01,d04301
azor,d06905
azothiaprine,d00024
aztreonam,d00067
azulfidine,d00379
b 12,d00413
b 12 injections,d00413
b and 0 suppositories,d03436
b complex,d03140
b-12,d00413
b-12 injection,d00413
b-12 injections,d00413
b-12 shot,d00413
b-12 shots,d00413
b-12 sq,d00413
b/12 shot,d00413
b12,d00413
b12 (im),d00413
b12 im,d00413
b12 inj,d00413
b12 injec.,d00413
b12 injectible,d00413
b12 injection,d00413
b12 injection 1000units once a,d00413
b12 injections,d00413
b12 shot,d00413
b12 spray,d00413
b12 sq,d00413
baby asa,d00170
baby aspirin,d00170
baby asprin,d00170
babyaspirin,d00170
bacitracin,d01115
bacl0fen,d00967
baclefen,d00967
baclifen,d00967
baclofan,d00967
baclofen,d00967
baclofin,d00967
baclophen,d00967
bacorim,d00124
bactrim,d00124
bactrim (eye oinment),d00124
bactrim ds eqv,d00124
bactrim-ds,d00124
bactrin,d00124
bactroban,d01267
bactroban (cream),d01267
bametanide,d00179
baromadene,d00785
bayer,d00170
bayer asa,d00170
bayer aspirin,d00170
bcp,r10007
becanase aq,d04275
beclomethasone,d00760
beclomethasone nasal inhal.,d04275
beclomethosone,d00760
beclovent,d00760
beconase,d04275
beconase aq,d04275
beconase aq .042,d04275
beconase-aq,d04275
belladonna,d00988
bellaspas,d03495
benacar,d04801
benacor,d04801
benadryal,d00212
benadryl,d00212
benayerpril,d00730
benazapril,d00730
benazedril,d00730
benazeph hcl,d00730
benazepric,d00730
benazepril,d00730
benazepril hci,d00730
benazepril hcl,d00730
benazepril hctz,d03265
benazepril hydrochloride,d00730
benazepril-hydrochlorothiazide,d03265
benazeprol,d00730
benazipril,d00730
benazopril,d00730
benazpril,d00730
benazynil,d00730
benazypril,d00730
bencar,d04801
benczypril,d00730
bendrpflumgthiazise,d00641
benecar,d04801
benedryl,d00212
benefiber,d06392
benezapril,d00730
benezepril,d00730
benezypril,d00730
benical,d04801
benicar,d04801
benicar 20/12.5,d04801
benicar hcl,d04878
benicar hcl 20/12.5,d04878
benicar hct,d04878
benicar hct 20/12.5,d04878
benicar hct 40,d04878
benicar hct 40/12.5,d04878
benicar hct(20/12.5mg),d04878
benicar hct40,d04878
benicar hctz,d04878
benicar(40/25mg),d04801
benicar/hct,d04878
benicar/hct 20/12.5,xxxxxx
benicar/olmesartan,d04801
benicor,d04801
benicor hct,d04878
benieva,d05357
beniva,d05357
bennicar,d04801
benotropin,d00175
bentyl,d00999
benzanzopril,d00730
benzapril,d00730
benzatropine,d00175
benzepril,d00730
benzodiazepine,xxxxxx
benzonatate,d00796
benzopril,d00730
benztropine,d00175
benztropine mes,d00175
benztropine mesylate,d00175
beptopic eye drops,d04038
beromondine,d04048
berztgue,r10029
beta sitosterol,xxxxxx
betagan,d01187
betagen,d00346
betagen eye drops,d00346
betameth/clotrimazol,d03561
betamethasone,d00628
betamethasone (0.05 pct),d00628
betamethasone cream,d03197
betamethasone dipropionate,d03197
betamethasone topical,d03197
betamethasone velerate,d03197
betamethasone-clotrimazole top,xxxxxx
betapace,d00371
betaxolal,d00176
betaxolol,d00176
betaxolol 0.5 percent,xxxxxx
betaxolol 1 gtt,d00176
betaxolol hcl 0.25 percent,xxxxxx
betaxolol hcl eye drops,d04038
bethamethosone 0.5 percent,xxxxxx
bethanechol,d01427
bethanechol chloride,d01427
betimal,d04037
betimol,d04037
betimol eye drop,d04037
betimol eye drops,d04037
betimol opthalmic,d04037
betimol qtts,d04037
betoptic,d04038
betoptic 0.25 percent,xxxxxx
betoptic 50 eye drops,d04038
betoptic drops,d04038
betoptic eye,d04038
betoptic eye drops,d04038
betoptic ou,d04038
betoptic s,d04038
betoptic s ou,d04038
betoptic s sus .0025,d04038
betoptic-s,d04038
betoptics,d04038
betoptics drops,d04038
bextra,d04778
bi-est,r10025
bi-est (cream),r10025
biaxin,d00097
bicalutamide,d03850
bicalutimide,d03850
bicitra,d03952
bidil,d05540
biest,r10025
biest (estrogen supplement),r10025
biestrogen,r10025
bimatoprost,d04754
bimatoprost 3,d04754
bimatoprost ophthalmic,d04754
bimotoprost 0.03 percent,xxxxxx
bio-lipotrol,xxxxxx
biosil,s10148
biotin,d06867
birth control pill,r10007
bisacodyl,d01015
bisacodyl supp,d01015
biscodye,d01015
biscodyl,d01015
bisopril/nctz,d03744
bisoprl,d00709
bisoprold fumerate,d00709
bisoprolo fumerale,d00709
bisoprolol,d00709
bisoprolol fumarate,d00709
bisoprolol hctz,d03744
bisoprolol hctz 5 6.25,d03744
bisoprolol-hydrochlorothiazide,d03744
bisoprolol/hct2,d03744
bisoprolol/hctz,d03744
bisoprolol/hydrochlorothiazide,d03744
bisopropol fumavate,d00709
bisorolol fumarate,d00709
blephamide,d03541
blephamide cream,d03541
blephamide opth ointment,d03541
blocadren,d00139
boclofen,d00967
boneva,d05357
bonevia,d05357
bonine,d00859
boniva,d05357
boniva (injection),d05357
bontril,d00809
bonvia,d05357
bonwa,d05357
boric acid,d01225
bosorbide monontrete,d00269
bospirone,d00182
bovene,d05357
bovina,d05357
bp pill,xxxxxx
brethine,d00752
brimanidine tartrate,d04048
brimodine tartrate,d04048
brimonide,d04048
brimonide tartrate,d04048
brimonidene oph drops,d04048
brimonidine,d04048
brimonidine (0.2 pct),d04048
brimonidine 2,d04048
brimonidine eye drops,d04048
brimonidine gtts,d04048
brimonidine ophth,d04048
brimonidine ophthalmic,d04048
brimonidine tartar,d04048
brimonidine tartarate,d04048
brimonidine tartrase,d04048
brimonidine tartrate,d04048
brimonidine tartrate 0.002,d04048
brimonidine tartrate 0.2,d04048
bromfenex,d03301
bromocriptine,d00178
bromocryptine,d00178
brumocriptine,d00178
bu propion,d00181
budeprion xl,d00181
budeprion xl tab,d00181
budesonide,d04276
budesonide nasal spray,d03640
buffered aspirin,d00170
bumetadine,d00179
bumetamide,d00179
bumetanide,d00179
bumex,d00179
buporpion,d00181
buprenorphine,d00840
buprion,d00181
buprophon,d00181
bupropian,d00181
bupropin,d00181
bupropion,d00181
bupropion / wellbutrin,d00181
bupropion er,d00181
bupropion hcl,d00181
bupropion hydrochloride,d00181
bupropion sr,d00181
bupropion xl,d00181
bupropnon hci,d00181
buproprian,d00181
buproprin,d00181
buproprion,d00181
buproprion acl sr,d00181
buproprion hcl,d00181
buproprion sr,d00181
buproprion xl,d00181
bupropron,d00181
bupropxin sr,d00181
bupruprion,d00181
buptopion (wellbutrin xi),d00181
burpropion,d00181
busbar,d00182
busiprone,d00182
buspar,d00182
busparone,d00182
buspiorne,d00182
buspirane hcl,d00182
buspirene,d00182
buspirone,d00182
buspirone hcl,d00182
buspisone,d00182
busprione,d00182
butal-asa-caf,xxxxxx
butalbital,d03061
butalbital/apap,d03061
butyn,xxxxxx
byeta,xxxxxx
byetta,xxxxxx
byetta (injection),xxxxxx
byetta prefilled pen,d05529
byproprion,d00181
c- testosterone (1 pct),d00558
c-dopa,d00184
c-estradiol,d00537
c-testosterone (1 pct),d00558
c29 oxybutynin,d00328
cabergaline,d04112
cabergoline,d04112
cacyclovir,d00001
cadnet,d05048
caduct,d05048
caduel,d05048
caduer,d05048
caduet,d05048
caduet  10/20,d05048
caduet (norvasc and lipitor),d05048
caduet 10 80,d05048
caduet 10/20,d05048
caduet 2.5/20 mg,d05048
caduet 5 10,d05048
caduet 5/20,d05048
caduet(10/10mg),d05048
caduet- lipitor,d05048
caduet- norvasc,d05048
cadura,d00726
cadvet,d05048
cafergot,d04120
caffeine,d00801
cal mag suspension,d03145
calafol 400 1.6,d03145
calan,d00048
calan (1/2 of 240 mg),d00048
calan sr,d00048
calan-sr,d00048
calcet plus,d03145
calcipotriene,d03788
calcipotriene cream,d03788
calcitonin,d00598
calcitonin ns puff,d00598
calcitonin| salmon,d00598
calcitriol,d03126
calcitriol 0.25,d03126
calcitriolmf,d03126
calcitrocal,d03126
calcitroil,d03126
calcitrol,d03126
calcium,d00425
calcium + d,d03137
calcium blocker,xxxxxx
calcium carbon,d00425
calcium carbonate,d00425
calcium citrate,d03866
calcium cl,d03799
calcium d,d03137
calcium gluc,d03816
calcium oyster,d00425
calcium w/ d,d03137
calcium with vitamin d,d03137
calcium+vitamin d,d03137
calcium-vitamin d,d03137
"calcium-vitamin d (dical-d, o-",d03137
calcium/d,d03137
calcium/vit d,d03137
calexa,d04332
calmoseptine,d06868
caltrate,d00425
campral,d04986
canasa supp,d01031
candesartan,d04322
candesartan cilexetil,d04322
candiazen,d00045
candizem,d00045
caozapine,d00199
capex shampoo,d01293
